schema,input_bit,plaintext_rank,cipher_hamming_fraction,tweak_hamming_fraction
permit,5,992,0.5,0.5
permit,10,3577,0.5833333333333334,0.5
permit,2,1055,0.25,0.4166666666666667
permit,9,443,0.4166666666666667,0.75
permit,0,2900,0.5833333333333334,0.5
permit,1,2623,0.5,0.5
permit,9,2596,0.5833333333333334,0.6666666666666666
permit,8,2145,0.75,0.16666666666666666
permit,1,2222,0.5,0.5833333333333334
permit,7,2087,0.4166666666666667,0.4166666666666667
permit,2,1698,0.4166666666666667,0.5833333333333334
permit,11,666,0.5833333333333334,0.6666666666666666
permit,7,360,0.75,0.5833333333333334
permit,1,1468,0.3333333333333333,0.5833333333333334
permit,9,2367,0.75,0.5833333333333334
permit,7,800,0.5833333333333334,0.4166666666666667
permit,0,2592,0.5,0.5833333333333334
permit,7,1815,0.25,0.4166666666666667
permit,2,1131,0.4166666666666667,0.4166666666666667
permit,1,3201,0.4166666666666667,0.5833333333333334
permit,8,2676,0.5,0.5
permit,4,3640,0.08333333333333333,0.5833333333333334
permit,6,1840,0.3333333333333333,0.5
permit,11,3751,0.75,0.5833333333333334
permit,11,3411,0.3333333333333333,0.3333333333333333
permit,8,2009,0.5833333333333334,0.5833333333333334
permit,0,2261,0.4166666666666667,0.75
permit,8,1048,0.3333333333333333,0.6666666666666666
permit,8,2894,0.5833333333333334,0.5833333333333334
permit,4,1521,0.5,0.4166666666666667
permit,5,668,0.5,0.3333333333333333
permit,8,3614,0.5,0.4166666666666667
permit,3,973,0.4166666666666667,0.5
permit,5,3786,0.4166666666666667,0.6666666666666666
permit,6,3521,0.5833333333333334,0.3333333333333333
permit,0,3881,0.5,0.75
permit,8,941,0.5,0.75
permit,6,2337,0.4166666666666667,0.5
permit,2,2953,0.3333333333333333,0.3333333333333333
permit,2,2844,0.6666666666666666,0.4166666666666667
permit,7,3804,0.5,0.5833333333333334
permit,10,1132,0.3333333333333333,0.5
permit,9,3912,0.5833333333333334,0.5
permit,0,3696,0.5,0.4166666666666667
permit,11,547,0.5,0.5
permit,11,3186,0.5,0.4166666666666667
permit,0,2581,0.4166666666666667,0.5833333333333334
permit,7,764,0.6666666666666666,0.3333333333333333
permit,2,2305,0.5833333333333334,0.3333333333333333
permit,11,965,0.5833333333333334,0.4166666666666667
permit,8,1824,0.08333333333333333,0.4166666666666667
permit,10,3743,0.5,0.3333333333333333
permit,6,2330,0.5833333333333334,0.4166666666666667
permit,4,3527,0.5833333333333334,0.4166666666666667
permit,7,3661,0.3333333333333333,0.75
permit,6,828,0.5,0.25
permit,1,752,0.16666666666666666,0.6666666666666666
permit,11,1019,0.4166666666666667,0.4166666666666667
permit,4,2420,0.5,0.6666666666666666
permit,6,1173,0.5833333333333334,0.4166666666666667
permit,10,3509,0.4166666666666667,0.4166666666666667
permit,10,786,0.4166666666666667,0.5
permit,2,471,0.4166666666666667,0.75
permit,6,3098,0.6666666666666666,0.75
permit,7,2302,0.5,0.6666666666666666
permit,2,3858,0.5,0.6666666666666666
permit,7,2864,0.25,0.4166666666666667
permit,3,994,0.5833333333333334,0.5833333333333334
permit,4,38,0.3333333333333333,0.5833333333333334
permit,3,442,0.3333333333333333,0.5
permit,10,36,0.5833333333333334,0.5
permit,1,497,0.25,0.75
permit,10,1246,0.3333333333333333,0.6666666666666666
permit,0,992,0.75,0.5
permit,2,1155,0.4166666666666667,0.5
permit,1,393,0.3333333333333333,0.5833333333333334
permit,7,2458,0.4166666666666667,0.3333333333333333
permit,5,1681,0.75,0.3333333333333333
permit,7,26,0.5,0.6666666666666666
permit,2,3218,0.5833333333333334,0.3333333333333333
permit,2,1348,0.5833333333333334,0.6666666666666666
permit,8,3151,0.4166666666666667,0.25
permit,0,3033,0.5,0.6666666666666666
permit,8,2362,0.4166666666666667,0.4166666666666667
permit,4,693,0.3333333333333333,0.6666666666666666
