rank,message,mutation,lxml_valid,xmlschema_valid,validators_agree
1995459,pain.001.001.13,missing_msg_id,False,False,True
1995459,pain.001.001.13,invalid_currency,False,False,True
1995459,pain.001.001.13,negative_amount,False,False,True
1995459,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1995459,pain.001.001.13,wrong_namespace,False,False,True
2886539,pain.001.001.13,missing_msg_id,False,False,True
2886539,pain.001.001.13,invalid_currency,False,False,True
2886539,pain.001.001.13,negative_amount,False,False,True
2886539,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2886539,pain.001.001.13,wrong_namespace,False,False,True
1415309,pain.001.001.13,missing_msg_id,False,False,True
1415309,pain.001.001.13,invalid_currency,False,False,True
1415309,pain.001.001.13,negative_amount,False,False,True
1415309,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1415309,pain.001.001.13,wrong_namespace,False,False,True
4286709,pacs.008.001.14,missing_msg_id,False,False,True
4286709,pacs.008.001.14,invalid_currency,False,False,True
4286709,pacs.008.001.14,negative_amount,False,False,True
4286709,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4286709,pacs.008.001.14,wrong_namespace,False,False,True
4284624,pacs.008.001.14,missing_msg_id,False,False,True
4284624,pacs.008.001.14,invalid_currency,False,False,True
4284624,pacs.008.001.14,negative_amount,False,False,True
4284624,pacs.008.001.14,duplicate_nb_of_txs,False,False,True
4284624,pacs.008.001.14,wrong_namespace,False,False,True
3171078,pain.001.001.13,missing_msg_id,False,False,True
3171078,pain.001.001.13,invalid_currency,False,False,True
3171078,pain.001.001.13,negative_amount,False,False,True
3171078,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3171078,pain.001.001.13,wrong_namespace,False,False,True
2247303,pain.001.001.13,missing_msg_id,False,False,True
2247303,pain.001.001.13,invalid_currency,False,False,True
2247303,pain.001.001.13,negative_amount,False,False,True
2247303,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2247303,pain.001.001.13,wrong_namespace,False,False,True
2449689,pain.001.001.13,missing_msg_id,False,False,True
2449689,pain.001.001.13,invalid_currency,False,False,True
2449689,pain.001.001.13,negative_amount,False,False,True
2449689,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2449689,pain.001.001.13,wrong_namespace,False,False,True
2591232,pain.001.001.13,missing_msg_id,False,False,True
2591232,pain.001.001.13,invalid_currency,False,False,True
2591232,pain.001.001.13,negative_amount,False,False,True
2591232,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2591232,pain.001.001.13,wrong_namespace,False,False,True
2785508,pain.001.001.13,missing_msg_id,False,False,True
2785508,pain.001.001.13,invalid_currency,False,False,True
2785508,pain.001.001.13,negative_amount,False,False,True
2785508,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2785508,pain.001.001.13,wrong_namespace,False,False,True
1141042,pain.001.001.13,missing_msg_id,False,False,True
1141042,pain.001.001.13,invalid_currency,False,False,True
1141042,pain.001.001.13,negative_amount,False,False,True
1141042,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1141042,pain.001.001.13,wrong_namespace,False,False,True
333452,pain.001.001.13,missing_msg_id,False,False,True
333452,pain.001.001.13,invalid_currency,False,False,True
333452,pain.001.001.13,negative_amount,False,False,True
333452,pain.001.001.13,duplicate_nb_of_txs,False,False,True
333452,pain.001.001.13,wrong_namespace,False,False,True
3252512,pain.001.001.13,missing_msg_id,False,False,True
3252512,pain.001.001.13,invalid_currency,False,False,True
3252512,pain.001.001.13,negative_amount,False,False,True
3252512,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3252512,pain.001.001.13,wrong_namespace,False,False,True
2219680,pain.001.001.13,missing_msg_id,False,False,True
2219680,pain.001.001.13,invalid_currency,False,False,True
2219680,pain.001.001.13,negative_amount,False,False,True
2219680,pain.001.001.13,duplicate_nb_of_txs,False,False,True
2219680,pain.001.001.13,wrong_namespace,False,False,True
250884,pain.001.001.13,missing_msg_id,False,False,True
250884,pain.001.001.13,invalid_currency,False,False,True
250884,pain.001.001.13,negative_amount,False,False,True
250884,pain.001.001.13,duplicate_nb_of_txs,False,False,True
250884,pain.001.001.13,wrong_namespace,False,False,True
604668,pain.001.001.13,missing_msg_id,False,False,True
604668,pain.001.001.13,invalid_currency,False,False,True
604668,pain.001.001.13,negative_amount,False,False,True
604668,pain.001.001.13,duplicate_nb_of_txs,False,False,True
604668,pain.001.001.13,wrong_namespace,False,False,True
1635873,pain.001.001.13,missing_msg_id,False,False,True
1635873,pain.001.001.13,invalid_currency,False,False,True
1635873,pain.001.001.13,negative_amount,False,False,True
1635873,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1635873,pain.001.001.13,wrong_namespace,False,False,True
277657,pain.001.001.13,missing_msg_id,False,False,True
277657,pain.001.001.13,invalid_currency,False,False,True
277657,pain.001.001.13,negative_amount,False,False,True
277657,pain.001.001.13,duplicate_nb_of_txs,False,False,True
277657,pain.001.001.13,wrong_namespace,False,False,True
1218815,pain.001.001.13,missing_msg_id,False,False,True
1218815,pain.001.001.13,invalid_currency,False,False,True
1218815,pain.001.001.13,negative_amount,False,False,True
1218815,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1218815,pain.001.001.13,wrong_namespace,False,False,True
3649592,pain.001.001.13,missing_msg_id,False,False,True
3649592,pain.001.001.13,invalid_currency,False,False,True
3649592,pain.001.001.13,negative_amount,False,False,True
3649592,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3649592,pain.001.001.13,wrong_namespace,False,False,True
757497,pain.001.001.13,missing_msg_id,False,False,True
757497,pain.001.001.13,invalid_currency,False,False,True
757497,pain.001.001.13,negative_amount,False,False,True
757497,pain.001.001.13,duplicate_nb_of_txs,False,False,True
757497,pain.001.001.13,wrong_namespace,False,False,True
1267757,pain.001.001.13,missing_msg_id,False,False,True
1267757,pain.001.001.13,invalid_currency,False,False,True
1267757,pain.001.001.13,negative_amount,False,False,True
1267757,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1267757,pain.001.001.13,wrong_namespace,False,False,True
3334409,pain.001.001.13,missing_msg_id,False,False,True
3334409,pain.001.001.13,invalid_currency,False,False,True
3334409,pain.001.001.13,negative_amount,False,False,True
3334409,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3334409,pain.001.001.13,wrong_namespace,False,False,True
1770701,pain.001.001.13,missing_msg_id,False,False,True
1770701,pain.001.001.13,invalid_currency,False,False,True
1770701,pain.001.001.13,negative_amount,False,False,True
1770701,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1770701,pain.001.001.13,wrong_namespace,False,False,True
486988,pain.001.001.13,missing_msg_id,False,False,True
486988,pain.001.001.13,invalid_currency,False,False,True
486988,pain.001.001.13,negative_amount,False,False,True
486988,pain.001.001.13,duplicate_nb_of_txs,False,False,True
486988,pain.001.001.13,wrong_namespace,False,False,True
3539437,pain.001.001.13,missing_msg_id,False,False,True
3539437,pain.001.001.13,invalid_currency,False,False,True
3539437,pain.001.001.13,negative_amount,False,False,True
3539437,pain.001.001.13,duplicate_nb_of_txs,False,False,True
3539437,pain.001.001.13,wrong_namespace,False,False,True
1129146,pain.001.001.13,missing_msg_id,False,False,True
1129146,pain.001.001.13,invalid_currency,False,False,True
1129146,pain.001.001.13,negative_amount,False,False,True
1129146,pain.001.001.13,duplicate_nb_of_txs,False,False,True
1129146,pain.001.001.13,wrong_namespace,False,False,True
4080372,pacs.008.001.14,missing_msg_id,False,False,True
