method,domain,repetition,budget,produced,valid,validity_rate,unique,unique_rate,duplicates,branch_coverage,elapsed_s,objects_per_s,uniform_bugs,uniform_first,rare_branch_bugs,rare_branch_first,boundary_bugs,boundary_first,clustered_bugs,clustered_first,interaction_bugs,interaction_first,source_budget,source_elapsed_s,source_objects_per_s
feat,dependent_record,3,100,100,100,1.0,100,1.0,0,1.0,0.0004091309999978421,244420.49123759245,1,37,1,9,0,101,1,85,0,101,1000,0.0004091309999978421,2444204.9123759246
feat,dependent_record,3,500,500,500,1.0,500,1.0,0,1.0,0.0004091309999978421,1222102.4561879623,2,37,2,9,1,424,1,85,2,101,1000,0.0004091309999978421,2444204.9123759246
feat,dependent_record,3,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0004091309999978421,2444204.9123759246,4,37,3,9,1,424,6,85,4,101,1000,0.0004091309999978421,2444204.9123759246
feat,dependent_record,4,100,100,100,1.0,100,1.0,0,0.75,0.000436802000002956,228936.68069130467,0,101,0,101,1,4,1,55,0,101,1000,0.000436802000002956,2289366.8069130466
feat,dependent_record,4,500,500,500,1.0,500,1.0,0,1.0,0.000436802000002956,1144683.4034565233,4,122,2,202,2,4,1,55,5,105,1000,0.000436802000002956,2289366.8069130466
feat,dependent_record,4,1000,1000,1000,1.0,1000,1.0,0,1.0,0.000436802000002956,2289366.8069130466,6,122,3,202,4,4,2,55,9,105,1000,0.000436802000002956,2289366.8069130466
feat,dependent_record,5,100,100,100,1.0,100,1.0,0,0.75,0.0004171360000029267,239729.96816217824,1,38,0,101,0,101,0,101,0,101,1000,0.0004171360000029267,2397299.6816217825
feat,dependent_record,5,500,500,500,1.0,500,1.0,0,0.75,0.0004171360000029267,1198649.8408108912,2,38,0,501,1,220,4,343,2,340,1000,0.0004171360000029267,2397299.6816217825
feat,dependent_record,5,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0004171360000029267,2397299.6816217825,3,38,2,727,3,220,6,343,3,340,1000,0.0004171360000029267,2397299.6816217825
feat,dependent_record,6,100,100,100,1.0,100,1.0,0,1.0,0.0004374139999967497,228616.36801918337,0,101,1,70,1,47,0,101,1,47,1000,0.0004374139999967497,2286163.6801918335
feat,dependent_record,6,500,500,500,1.0,500,1.0,0,1.0,0.0004374139999967497,1143081.8400959168,2,259,1,70,1,47,1,110,3,47,1000,0.0004374139999967497,2286163.6801918335
feat,dependent_record,6,1000,1000,1000,1.0,1000,1.0,0,1.0,0.0004374139999967497,2286163.6801918335,6,259,3,70,4,47,4,110,4,47,1000,0.0004374139999967497,2286163.6801918335
feat,dependent_record,7,100,100,100,1.0,100,1.0,0,1.0,0.0004176070000028176,239459.5876010826,1,2,1,43,0,101,0,101,1,97,1000,0.0004176070000028176,2394595.876010826
feat,dependent_record,7,500,500,500,1.0,500,1.0,0,1.0,0.0004176070000028176,1197297.938005413,2,2,1,43,1,344,0,501,3,97,1000,0.0004176070000028176,2394595.876010826
